Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp
RELIANCE,2025-12-30,1200.0,,,0.1,24500,2025-12-23 21:00
RELIANCE,2025-12-30,1280.0,290.3,834500.0,0.2,621000,2025-12-23 21:00
RELIANCE,2025-12-30,1300.0,270.4,254500.0,0.2,143500,2025-12-23 21:00
RELIANCE,2025-12-30,1320.0,223.0,14500.0,0.25,16000,2025-12-23 21:00
RELIANCE,2025-12-30,1340.0,183.7,1000.0,0.15,15000,2025-12-23 21:00
RELIANCE,2025-12-30,1350.0,225.0,2000.0,0.15,61500,2025-12-23 21:00
RELIANCE,2025-12-30,1360.0,195.0,2500.0,0.2,186500,2025-12-23 21:00
RELIANCE,2025-12-30,1370.0,179.5,3000.0,0.2,37000,2025-12-23 21:00
RELIANCE,2025-12-30,1380.0,197.7,12500.0,0.2,113000,2025-12-23 21:00
RELIANCE,2025-12-30,1390.0,157.0,1000.0,0.2,145000,2025-12-23 21:00
RELIANCE,2025-12-30,1400.0,170.0,293500.0,0.3,937000,2025-12-23 21:00
RELIANCE,2025-12-30,1410.0,142.25,62500.0,0.2,429000,2025-12-23 21:00
RELIANCE,2025-12-30,1420.0,155.7,16500.0,0.3,321000,2025-12-23 21:00
RELIANCE,2025-12-30,1430.0,145.0,44000.0,0.3,483500,2025-12-23 21:00
RELIANCE,2025-12-30,1440.0,133.65,53500.0,0.3,612500,2025-12-23 21:00
RELIANCE,2025-12-30,1450.0,120.75,125000.0,0.4,864000,2025-12-23 21:00
RELIANCE,2025-12-30,1460.0,113.45,48500.0,0.45,359000,2025-12-23 21:00
RELIANCE,2025-12-30,1470.0,102.25,89500.0,0.45,455500,2025-12-23 21:00
RELIANCE,2025-12-30,1480.0,92.0,229000.0,0.5,701000,2025-12-23 21:00
RELIANCE,2025-12-30,1490.0,84.0,148500.0,0.55,460000,2025-12-23 21:00
RELIANCE,2025-12-30,1500.0,71.65,2793000.0,0.7,2149000,2025-12-23 21:00
RELIANCE,2025-12-30,1510.0,61.5,68000.0,0.8,378000,2025-12-23 21:00
RELIANCE,2025-12-30,1520.0,51.35,299000.0,0.95,1159500,2025-12-23 21:00
RELIANCE,2025-12-30,1530.0,41.35,606500.0,1.2,1151000,2025-12-23 21:00
RELIANCE,2025-12-30,1540.0,32.95,879000.0,1.8,1685500,2025-12-23 21:00
RELIANCE,2025-12-30,1550.0,23.35,2730500.0,2.7,2239500,2025-12-23 21:00
RELIANCE,2025-12-30,1560.0,15.6,2725500.0,4.65,2047500,2025-12-23 21:00
RELIANCE,2025-12-30,1570.0,9.2,3001000.0,8.45,1449500,2025-12-23 21:00
RELIANCE,2025-12-30,1580.0,5.5,4117500.0,14.5,849500,2025-12-23 21:00
RELIANCE,2025-12-30,1590.0,3.15,2011500.0,22.2,223500,2025-12-23 21:00
RELIANCE,2025-12-30,1600.0,1.85,9024000.0,31.0,888000,2025-12-23 21:00
RELIANCE,2025-12-30,1610.0,1.2,1562000.0,40.65,95000,2025-12-23 21:00
RELIANCE,2025-12-30,1620.0,0.85,1063000.0,48.55,93000,2025-12-23 21:00
RELIANCE,2025-12-30,1630.0,0.65,815500.0,55.6,45000,2025-12-23 21:00
RELIANCE,2025-12-30,1640.0,0.5,1181000.0,65.8,110500,2025-12-23 21:00
RELIANCE,2025-12-30,1650.0,0.45,662500.0,78.3,58500,2025-12-23 21:00
RELIANCE,2025-12-30,1660.0,0.4,401500.0,88.5,99500,2025-12-23 21:00
RELIANCE,2025-12-30,1670.0,0.4,193500.0,113.0,6000,2025-12-23 21:00
RELIANCE,2025-12-30,1680.0,0.35,415000.0,107.0,5500,2025-12-23 21:00
RELIANCE,2025-12-30,1690.0,0.3,115000.0,0.0,0,2025-12-23 21:00
RELIANCE,2025-12-30,1700.0,0.25,1349500.0,130.0,374000,2025-12-23 21:00
RELIANCE,2025-12-30,1720.0,0.2,813000.0,142.0,523500,2025-12-23 21:00
RELIANCE,2025-12-30,1740.0,0.15,359500.0,164.55,174000,2025-12-23 21:00
RELIANCE,2025-12-30,1760.0,0.1,130500.0,193.15,3500,2025-12-23 21:00
RELIANCE,2025-12-30,1780.0,0.0,0.0,0.0,0,2025-12-23 21:00
HDFCBANK,2025-12-30,860.0,126.25,3300.0,0.05,31350,2025-12-23 21:00
HDFCBANK,2025-12-30,870.0,0.0,0.0,0.2,57200,2025-12-23 21:00
