Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,2025-12-23 21:07,24545
360ONE,2025-12-30,920.0,0.0,0.0,2.05,1500.0,2025-12-23 21:07,19929
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,2025-12-23 21:07,15244
360ONE,2025-12-30,980.0,179.2,2000.0,0.35,4500.0,2025-12-23 21:07,12931
360ONE,2025-12-30,1000.0,173.2,5000.0,0.3,24000.0,2025-12-23 21:07,10641
360ONE,2025-12-30,1020.0,152.25,1500.0,0.5,54500.0,2025-12-23 21:07,8459
360ONE,2025-12-30,1040.0,129.15,6000.0,0.65,92500.0,2025-12-23 21:07,6323
360ONE,2025-12-30,1060.0,86.5,8500.0,0.75,135500.0,2025-12-23 21:07,4435
360ONE,2025-12-30,1080.0,86.6,15000.0,1.05,69000.0,2025-12-23 21:07,2827
360ONE,2025-12-30,1100.0,79.0,83500.0,1.2,108500.0,2025-12-23 21:07,1447
360ONE,2025-12-30,1120.0,58.3,72500.0,1.6,110000.0,2025-12-23 21:07,975
360ONE,2025-12-30,1140.0,38.0,129000.0,2.35,232500.0,2025-12-23 21:07,626
360ONE,2025-12-30,1160.0,23.7,150000.0,6.6,193000.0,2025-12-23 21:07,1030
360ONE,2025-12-30,1180.0,13.55,160000.0,16.05,79500.0,2025-12-23 21:07,1914
360ONE,2025-12-30,1200.0,6.9,281500.0,29.7,62500.0,2025-12-23 21:07,3137
360ONE,2025-12-30,1220.0,2.45,295500.0,52.6,4000.0,2025-12-23 21:07,4967
360ONE,2025-12-30,1240.0,1.0,255500.0,69.6,1500.0,2025-12-23 21:07,7440
360ONE,2025-12-30,1260.0,0.95,114500.0,128.15,1500.0,2025-12-23 21:07,10390
360ONE,2025-12-30,1280.0,0.75,66500.0,137.0,500.0,2025-12-23 21:07,13548
360ONE,2025-12-30,1320.0,0.55,93000.0,0.0,0.0,2025-12-23 21:07,20149
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,2025-12-23 21:07,27128
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,2025-12-23 21:07,63782
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,2025-12-23 21:07,50467
ABB,2025-12-30,4350.0,0.0,0.0,1.0,2000.0,2025-12-23 21:07,47139
ABB,2025-12-30,4400.0,780.0,1000.0,0.6,6250.0,2025-12-23 21:07,43821
ABB,2025-12-30,4450.0,0.0,0.0,1.0,5750.0,2025-12-23 21:07,40616
ABB,2025-12-30,4500.0,668.0,500.0,1.0,1625.0,2025-12-23 21:07,37363
ABB,2025-12-30,4550.0,528.8,125.0,0.0,0.0,2025-12-23 21:07,34153
ABB,2025-12-30,4600.0,685.75,0.0,1.5,125.0,2025-12-23 21:07,30918
ABB,2025-12-30,4650.0,0.0,0.0,2.05,15500.0,2025-12-23 21:07,27677
ABB,2025-12-30,4700.0,481.25,250.0,3.25,57750.0,2025-12-23 21:07,24510
ABB,2025-12-30,4750.0,431.6,125.0,3.65,13750.0,2025-12-23 21:07,21629
ABB,2025-12-30,4800.0,421.15,500.0,3.0,34500.0,2025-12-23 21:07,18825
ABB,2025-12-30,4850.0,320.2,125.0,0.0,0.0,2025-12-23 21:07,16207
ABB,2025-12-30,4900.0,305.55,6625.0,3.35,49250.0,2025-12-23 21:07,13582
ABB,2025-12-30,4950.0,261.55,2250.0,4.25,28000.0,2025-12-23 21:07,11419
ABB,2025-12-30,5000.0,221.1,48375.0,7.55,85375.0,2025-12-23 21:07,9267
ABB,2025-12-30,5050.0,167.75,10000.0,8.45,31250.0,2025-12-23 21:07,8743
ABB,2025-12-30,5100.0,123.2,55125.0,14.5,78000.0,2025-12-23 21:07,7561
ABB,2025-12-30,5150.0,86.0,17500.0,26.1,24875.0,2025-12-23 21:07,7470
ABB,2025-12-30,5200.0,54.5,101250.0,43.75,66375.0,2025-12-23 21:07,7110
ABB,2025-12-30,5250.0,33.2,83875.0,73.3,10375.0,2025-12-23 21:07,7764
ABB,2025-12-30,5300.0,18.6,111875.0,107.1,44000.0,2025-12-23 21:07,8830
ABB,2025-12-30,5350.0,10.75,35250.0,114.1,5875.0,2025-12-23 21:07,10210
ABB,2025-12-30,5400.0,6.4,86625.0,200.0,9250.0,2025-12-23 21:07,12030
ABB,2025-12-30,5450.0,4.85,47250.0,0.0,0.0,2025-12-23 21:07,14228
ABB,2025-12-30,5500.0,3.75,129250.0,310.0,31000.0,2025-12-23 21:07,16815
ABB,2025-12-30,5550.0,4.05,10625.0,0.0,0.0,2025-12-23 21:07,19269
ABB,2025-12-30,5600.0,2.3,17750.0,406.0,8750.0,2025-12-23 21:07,22692
ABB,2025-12-30,5650.0,4.25,28000.0,0.0,0.0,2025-12-23 21:07,25892
ABB,2025-12-30,5700.0,4.8,750.0,480.0,7375.0,2025-12-23 21:07,29595
ABB,2025-12-30,5750.0,1.4,11875.0,455.0,1875.0,2025-12-23 21:07,32973
ABB,2025-12-30,5800.0,1.1,2625.0,610.0,3000.0,2025-12-23 21:07,36690
ABB,2025-12-30,5850.0,1.25,875.0,0.0,0.0,2025-12-23 21:07,40336
ABB,2025-12-30,5900.0,0.1,15500.0,650.85,500.0,2025-12-23 21:07,44169
ABB,2025-12-30,6000.0,0.3,38000.0,820.0,12750.0,2025-12-23 21:07,51963
ABB,2025-12-30,6100.0,0.05,15125.0,905.0,30500.0,2025-12-23 21:07,59253
ABCAPITAL,2025-12-30,260.0,85.5,285200.0,0.1,182900.0,2025-12-23 21:07,102192
ABCAPITAL,2025-12-30,270.0,76.65,27900.0,0.0,0.0,2025-12-23 21:07,89455
ABCAPITAL,2025-12-30,280.0,85.5,27900.0,0.1,117800.0,2025-12-23 21:07,74522
ABCAPITAL,2025-12-30,285.0,56.9,15500.0,0.1,18600.0,2025-12-23 21:07,67259
ABCAPITAL,2025-12-30,290.0,56.65,558000.0,0.05,471200.0,2025-12-23 21:07,59863
ABCAPITAL,2025-12-30,295.0,52.55,114700.0,0.1,120900.0,2025-12-23 21:07,56053
ABCAPITAL,2025-12-30,300.0,48.2,337900.0,0.1,396800.0,2025-12-23 21:07,49804
ABCAPITAL,2025-12-30,305.0,42.5,3100.0,0.15,68200.0,2025-12-23 21:07,44945
ABCAPITAL,2025-12-30,310.0,37.75,55800.0,0.15,474300.0,2025-12-23 21:07,38509
ABCAPITAL,2025-12-30,315.0,31.0,31000.0,0.3,806000.0,2025-12-23 21:07,32530
ABCAPITAL,2025-12-30,320.0,26.0,139500.0,0.3,1481800.0,2025-12-23 21:07,26837
ABCAPITAL,2025-12-30,325.0,22.7,105400.0,0.35,781200.0,2025-12-23 21:07,22202
ABCAPITAL,2025-12-30,330.0,17.5,288300.0,0.5,1333000.0,2025-12-23 21:07,17903
ABCAPITAL,2025-12-30,335.0,13.3,217000.0,0.75,1426000.0,2025-12-23 21:07,14641
ABCAPITAL,2025-12-30,340.0,9.05,740900.0,1.7,2216500.0,2025-12-23 21:07,11944
ABCAPITAL,2025-12-30,345.0,5.65,2427300.0,3.3,1590300.0,2025-12-23 21:07,10838
ABCAPITAL,2025-12-30,350.0,3.35,3478200.0,5.8,1804200.0,2025-12-23 21:07,12294
ABCAPITAL,2025-12-30,355.0,1.85,1810400.0,9.25,688200.0,2025-12-23 21:07,15663
ABCAPITAL,2025-12-30,360.0,1.1,2935700.0,13.75,564200.0,2025-12-23 21:07,19861
ABCAPITAL,2025-12-30,365.0,0.7,2163800.0,18.05,530100.0,2025-12-23 21:07,25658
ABCAPITAL,2025-12-30,370.0,0.5,2765200.0,24.65,297600.0,2025-12-23 21:07,32449
ABCAPITAL,2025-12-30,375.0,0.4,2411800.0,28.3,83700.0,2025-12-23 21:07,40982
ABCAPITAL,2025-12-30,380.0,0.25,1965400.0,34.05,120900.0,2025-12-23 21:07,51217
ABCAPITAL,2025-12-30,385.0,0.2,641700.0,0.0,0.0,2025-12-23 21:07,62273
ABCAPITAL,2025-12-30,390.0,0.15,1243100.0,32.05,58900.0,2025-12-23 21:07,74026
ABCAPITAL,2025-12-30,395.0,0.15,220100.0,0.0,0.0,2025-12-23 21:07,86247
ABCAPITAL,2025-12-30,400.0,0.1,1354700.0,43.8,9300.0,2025-12-23 21:07,98751
ADANIENT,2025-12-30,1840.0,0.0,0.0,1.0,4017.0,2025-12-23 21:07,336230
ADANIENT,2025-12-30,1880.0,0.0,0.0,1.55,16377.0,2025-12-23 21:07,302374
ADANIENT,2025-12-30,1900.2,331.2,9579.0,1.05,100734.0,2025-12-23 21:07,285308
ADANIENT,2025-12-30,1920.0,0.0,0.0,1.05,8652.0,2025-12-23 21:07,269107
ADANIENT,2025-12-30,1938.95,0.0,0.0,1.0,73542.0,2025-12-23 21:07,253323
ADANIENT,2025-12-30,1940.0,0.0,0.0,1.25,10506.0,2025-12-23 21:07,252449
