Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,timestamp,Stock_LTP,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,2025-12-25 01:55,1196.0,29109
360ONE,2025-12-30,920.0,0.0,0.0,0.2,1500.0,2025-12-25 01:55,1196.0,24133
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,2025-12-25 01:55,1196.0,19089
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,3000.0,2025-12-25 01:55,1196.0,16595
360ONE,2025-12-30,1000.0,173.2,3500.0,0.5,29000.0,2025-12-25 01:55,1196.0,14122
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57500.0,2025-12-25 01:55,1196.0,11737
360ONE,2025-12-30,1040.0,129.15,4500.0,0.65,81000.0,2025-12-25 01:55,1196.0,9406
360ONE,2025-12-30,1060.0,86.5,8500.0,0.7,55500.0,2025-12-25 01:55,1196.0,7301
360ONE,2025-12-30,1080.0,124.85,14500.0,0.55,64000.0,2025-12-25 01:55,1196.0,5340
360ONE,2025-12-30,1100.0,97.15,72500.0,0.75,72500.0,2025-12-25 01:55,1196.0,3645
360ONE,2025-12-30,1120.0,76.35,59000.0,0.75,59000.0,2025-12-25 01:55,1196.0,2761
360ONE,2025-12-30,1140.0,61.3,81500.0,1.2,184000.0,2025-12-25 01:55,1196.0,1860
360ONE,2025-12-30,1160.0,36.45,97000.0,1.95,302500.0,2025-12-25 01:55,1196.0,1521
360ONE,2025-12-30,1180.0,20.5,70500.0,4.3,223500.0,2025-12-25 01:55,1196.0,1799
360ONE,2025-12-30,1200.0,8.6,185500.0,12.0,101000.0,2025-12-25 01:55,1196.0,2418
360ONE,2025-12-30,1220.0,2.8,174500.0,25.5,22000.0,2025-12-25 01:55,1196.0,3601
360ONE,2025-12-30,1240.0,0.95,500500.0,28.6,7000.0,2025-12-25 01:55,1196.0,5130
360ONE,2025-12-30,1260.0,0.7,109000.0,128.15,1500.0,2025-12-25 01:55,1196.0,7710
360ONE,2025-12-30,1280.0,0.65,87500.0,137.0,500.0,2025-12-25 01:55,1196.0,10471
360ONE,2025-12-30,1320.0,0.3,106500.0,0.0,0.0,2025-12-25 01:55,1196.0,16368
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,2025-12-25 01:55,1196.0,22695
