Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,timestamp,Max_Pain
360ONE,2025-12-30,880.0,295.05,2500.0,0.0,0.0,1189.2,2025-12-26 09:52,28750
360ONE,2025-12-30,920.0,0.0,0.0,0.2,0.0,1189.2,2025-12-26 09:52,23872
360ONE,2025-12-30,960.0,171.7,1500.0,0.0,0.0,1189.2,2025-12-26 09:52,18920
360ONE,2025-12-30,980.0,179.2,2000.0,0.05,2000.0,1189.2,2025-12-26 09:52,16473
360ONE,2025-12-30,1000.0,173.2,3500.0,0.45,27000.0,1189.2,2025-12-26 09:52,14043
360ONE,2025-12-30,1020.0,152.25,0.0,0.45,57000.0,1189.2,2025-12-26 09:52,11699
360ONE,2025-12-30,1040.0,129.15,4500.0,0.5,81500.0,1189.2,2025-12-26 09:52,9406
360ONE,2025-12-30,1060.0,86.5,8500.0,0.55,54500.0,1189.2,2025-12-26 09:52,7342
360ONE,2025-12-30,1080.0,124.85,14000.0,0.6,64500.0,1189.2,2025-12-26 09:52,5421
360ONE,2025-12-30,1100.0,91.55,73000.0,0.65,69500.0,1189.2,2025-12-26 09:52,3757
360ONE,2025-12-30,1120.0,76.35,58500.0,1.05,58500.0,1189.2,2025-12-26 09:52,2871
360ONE,2025-12-30,1140.0,64.35,80000.0,1.2,181500.0,1189.2,2025-12-26 09:52,1995
360ONE,2025-12-30,1160.0,33.1,95500.0,2.0,292500.0,1189.2,2025-12-26 09:52,1695
360ONE,2025-12-30,1180.0,15.2,69000.0,6.05,214500.0,1189.2,2025-12-26 09:52,1936
360ONE,2025-12-30,1200.0,6.0,176000.0,16.0,106000.0,1189.2,2025-12-26 09:52,2461
360ONE,2025-12-30,1220.0,2.15,188000.0,30.95,21500.0,1189.2,2025-12-26 09:52,3511
360ONE,2025-12-30,1240.0,0.6,497500.0,28.6,6500.0,1189.2,2025-12-26 09:52,5018
360ONE,2025-12-30,1260.0,0.2,110500.0,128.15,1500.0,1189.2,2025-12-26 09:52,7570
360ONE,2025-12-30,1280.0,0.4,89500.0,90.1,2000.0,1189.2,2025-12-26 09:52,10318
360ONE,2025-12-30,1300.0,0.0,0.0,0.0,0.0,1189.2,2025-12-26 09:52,13251
360ONE,2025-12-30,1320.0,0.25,102500.0,0.0,0.0,1189.2,2025-12-26 09:52,16199
360ONE,2025-12-30,1360.0,1.0,500.0,0.0,0.0,1189.2,2025-12-26 09:52,22508
ABB,2025-12-30,4100.0,0.0,0.0,1.0,1875.0,5232.0,2025-12-26 09:52,63255
ABB,2025-12-30,4300.0,948.65,0.0,5.5,125.0,5232.0,2025-12-26 09:52,49957
ABB,2025-12-30,4350.0,0.0,0.0,1.0,1875.0,5232.0,2025-12-26 09:52,46633
ABB,2025-12-30,4400.0,780.0,1125.0,0.6,5750.0,5232.0,2025-12-26 09:52,43319
ABB,2025-12-30,4450.0,0.0,0.0,1.0,5750.0,5232.0,2025-12-26 09:52,40126
ABB,2025-12-30,4500.0,668.0,500.0,1.0,1625.0,5232.0,2025-12-26 09:52,36874
ABB,2025-12-30,4550.0,528.8,125.0,0.0,0.0,5232.0,2025-12-26 09:52,33667
ABB,2025-12-30,4600.0,685.75,0.0,0.55,250.0,5232.0,2025-12-26 09:52,30434
ABB,2025-12-30,4650.0,0.0,0.0,1.2,10625.0,5232.0,2025-12-26 09:52,27195
ABB,2025-12-30,4700.0,481.25,125.0,1.0,57375.0,5232.0,2025-12-26 09:52,24008
ABB,2025-12-30,4750.0,431.6,0.0,1.8,14375.0,5232.0,2025-12-26 09:52,21110
ABB,2025-12-30,4800.0,421.15,500.0,1.25,29750.0,5232.0,2025-12-26 09:52,18281
ABB,2025-12-30,4850.0,320.2,125.0,0.0,0.0,5232.0,2025-12-26 09:52,15624
ABB,2025-12-30,4900.0,323.4,6375.0,2.0,40875.0,5232.0,2025-12-26 09:52,12953
ABB,2025-12-30,4950.0,261.55,2250.0,2.9,26000.0,5232.0,2025-12-26 09:52,10713
ABB,2025-12-30,5000.0,240.0,45125.0,4.5,96625.0,5232.0,2025-12-26 09:52,8468
ABB,2025-12-30,5050.0,167.75,10000.0,5.85,34875.0,5232.0,2025-12-26 09:52,7919
ABB,2025-12-30,5100.0,138.2,47000.0,8.05,71000.0,5232.0,2025-12-26 09:52,6703
ABB,2025-12-30,5150.0,64.0,13250.0,12.55,33625.0,5232.0,2025-12-26 09:52,6521
ABB,2025-12-30,5200.0,56.75,67375.0,25.0,71750.0,5232.0,2025-12-26 09:52,6024
ABB,2025-12-30,5250.0,30.9,94875.0,47.0,17750.0,5232.0,2025-12-26 09:52,6384
