Stock,Expiry,Strike,CE_LTP,CE_OI,PE_LTP,PE_OI,Stock_LTP,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,2.4,1500.0,1183.0,-0.722,2025-12-31 11:27,2436
360ONE,2026-01-27,1000.0,0.0,0.0,7.0,3000.0,1183.0,-0.722,2025-12-31 11:27,1703
360ONE,2026-01-27,1020.0,0.0,0.0,3.6,500.0,1183.0,-0.722,2025-12-31 11:27,1341
360ONE,2026-01-27,1040.0,0.0,0.0,1.95,1500.0,1183.0,-0.722,2025-12-31 11:27,982
360ONE,2026-01-27,1060.0,129.8,3000.0,10.8,500.0,1183.0,-0.722,2025-12-31 11:27,626
360ONE,2026-01-27,1080.0,113.0,2000.0,8.7,13500.0,1183.0,-0.722,2025-12-31 11:27,315
360ONE,2026-01-27,1100.0,0.0,0.0,13.0,15500.0,1183.0,-0.722,2025-12-31 11:27,8
360ONE,2026-01-27,1120.0,0.0,0.0,19.4,500.0,1183.0,-0.722,2025-12-31 11:27,-298
360ONE,2026-01-27,1140.0,65.7,1000.0,24.0,26500.0,1183.0,-0.722,2025-12-31 11:27,-585
360ONE,2026-01-27,1160.0,51.0,17000.0,30.0,22000.0,1183.0,-0.722,2025-12-31 11:27,-873
360ONE,2026-01-27,1180.0,38.5,40500.0,41.2,36500.0,1183.0,-0.722,2025-12-31 11:27,-1005
360ONE,2026-01-27,1200.0,30.0,239500.0,54.5,60500.0,1183.0,-0.722,2025-12-31 11:27,-999
360ONE,2026-01-27,1220.0,23.3,39500.0,0.0,0.0,1183.0,-0.722,2025-12-31 11:27,-9
360ONE,2026-01-27,1240.0,18.0,14000.0,110.0,500.0,1183.0,-0.722,2025-12-31 11:27,762
360ONE,2026-01-27,1260.0,10.6,23000.0,0.0,0.0,1183.0,-0.722,2025-12-31 11:27,1491
360ONE,2026-01-27,1280.0,10.25,48000.0,113.9,1000.0,1183.0,-0.722,2025-12-31 11:27,2270
360ONE,2026-01-27,1300.0,7.45,4000.0,126.0,1000.0,1183.0,-0.722,2025-12-31 11:27,3161
360ONE,2026-01-27,1320.0,9.15,1000.0,0.0,0.0,1183.0,-0.722,2025-12-31 11:27,4014
360ONE,2026-01-27,1360.0,3.3,33000.0,0.0,0.0,1183.0,-0.722,2025-12-31 11:27,5745
ABB,2026-01-27,4300.0,875.25,250.0,5.05,500.0,5168.0,0.574,2025-12-31 11:27,30387
ABB,2026-01-27,4400.0,786.0,625.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,26900
ABB,2026-01-27,4500.0,0.0,0.0,6.5,2625.0,5168.0,0.574,2025-12-31 11:27,23447
ABB,2026-01-27,4550.0,663.35,500.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,21707
ABB,2026-01-27,4600.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,20004
ABB,2026-01-27,4650.0,0.0,0.0,7.25,2250.0,5168.0,0.574,2025-12-31 11:27,18269
ABB,2026-01-27,4700.0,0.0,0.0,8.85,14000.0,5168.0,0.574,2025-12-31 11:27,16543
ABB,2026-01-27,4750.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,14876
ABB,2026-01-27,4800.0,0.0,0.0,13.9,17875.0,5168.0,0.574,2025-12-31 11:27,13221
ABB,2026-01-27,4850.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,11632
ABB,2026-01-27,4900.0,0.0,0.0,23.25,6125.0,5168.0,0.574,2025-12-31 11:27,10067
ABB,2026-01-27,4950.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,8518
ABB,2026-01-27,5000.0,244.0,13375.0,39.25,74750.0,5168.0,0.574,2025-12-31 11:27,6984
ABB,2026-01-27,5050.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,5923
ABB,2026-01-27,5100.0,172.6,20125.0,66.8,25625.0,5168.0,0.574,2025-12-31 11:27,4829
ABB,2026-01-27,5150.0,139.25,11750.0,85.4,10250.0,5168.0,0.574,2025-12-31 11:27,4140
ABB,2026-01-27,5200.0,111.25,102875.0,108.95,86875.0,5168.0,0.574,2025-12-31 11:27,3461
ABB,2026-01-27,5250.0,88.75,15250.0,165.0,6000.0,5168.0,0.574,2025-12-31 11:27,3853
ABB,2026-01-27,5300.0,69.25,51000.0,162.0,18250.0,5168.0,0.574,2025-12-31 11:27,4189
ABB,2026-01-27,5350.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,4893
ABB,2026-01-27,5400.0,39.7,40250.0,266.0,5500.0,5168.0,0.574,2025-12-31 11:27,5539
ABB,2026-01-27,5450.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,6428
ABB,2026-01-27,5500.0,22.75,10750.0,361.9,17000.0,5168.0,0.574,2025-12-31 11:27,7303
ABB,2026-01-27,5550.0,0.0,0.0,330.0,125.0,5168.0,0.574,2025-12-31 11:27,7726
ABB,2026-01-27,5600.0,12.55,10875.0,430.0,15625.0,5168.0,0.574,2025-12-31 11:27,8736
ABB,2026-01-27,5650.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,9225
ABB,2026-01-27,5700.0,7.55,39250.0,547.7,5625.0,5168.0,0.574,2025-12-31 11:27,10372
ABB,2026-01-27,5750.0,0.0,0.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,11464
ABB,2026-01-27,5800.0,7.0,375.0,590.0,2000.0,5168.0,0.574,2025-12-31 11:27,12836
ABB,2026-01-27,5850.0,8.0,125.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,14101
ABB,2026-01-27,5900.0,8.0,125.0,0.0,0.0,5168.0,0.574,2025-12-31 11:27,15485
ABB,2026-01-27,6000.0,2.95,8375.0,790.0,21875.0,5168.0,0.574,2025-12-31 11:27,18254
ABB,2026-01-27,6100.0,7.5,875.0,920.0,18750.0,5168.0,0.574,2025-12-31 11:27,19599
ABCAPITAL,2026-01-27,280.0,0.0,0.0,0.2,34100.0,354.4,1.46,2025-12-31 11:27,31324
ABCAPITAL,2026-01-27,300.0,58.65,725400.0,0.35,167400.0,354.4,1.46,2025-12-31 11:27,15588
ABCAPITAL,2026-01-27,310.0,46.65,114700.0,0.55,393700.0,354.4,1.46,2025-12-31 11:27,12861
ABCAPITAL,2026-01-27,315.0,35.5,3100.0,0.7,133300.0,354.4,1.46,2025-12-31 11:27,10141
ABCAPITAL,2026-01-27,320.0,30.9,93000.0,0.9,465000.0,354.4,1.46,2025-12-31 11:27,6978
ABCAPITAL,2026-01-27,325.0,27.25,24800.0,1.35,130200.0,354.4,1.46,2025-12-31 11:27,4337
ABCAPITAL,2026-01-27,330.0,31.85,148800.0,1.9,1633700.0,354.4,1.46,2025-12-31 11:27,1579
ABCAPITAL,2026-01-27,335.0,24.9,15500.0,2.7,418500.0,354.4,1.46,2025-12-31 11:27,-174
ABCAPITAL,2026-01-27,340.0,21.7,238700.0,3.7,1103600.0,354.4,1.46,2025-12-31 11:27,-1949
ABCAPITAL,2026-01-27,345.0,17.5,210800.0,5.15,871100.0,354.4,1.46,2025-12-31 11:27,-2868
ABCAPITAL,2026-01-27,350.0,13.75,2873700.0,6.8,1441500.0,354.4,1.46,2025-12-31 11:27,-3436
ABCAPITAL,2026-01-27,355.0,10.9,765700.0,9.0,251100.0,354.4,1.46,2025-12-31 11:27,1203
ABCAPITAL,2026-01-27,360.0,8.55,1915800.0,11.5,620000.0,354.4,1.46,2025-12-31 11:27,3990
ABCAPITAL,2026-01-27,365.0,6.55,505300.0,14.25,46500.0,354.4,1.46,2025-12-31 11:27,8360
ABCAPITAL,2026-01-27,370.0,5.1,1912700.0,17.55,139500.0,354.4,1.46,2025-12-31 11:27,12347
ABCAPITAL,2026-01-27,375.0,3.85,434000.0,20.8,12400.0,354.4,1.46,2025-12-31 11:27,17825
ABCAPITAL,2026-01-27,380.0,3.0,654100.0,33.0,6200.0,354.4,1.46,2025-12-31 11:27,22937
ABCAPITAL,2026-01-27,385.0,2.2,148800.0,35.0,3100.0,354.4,1.46,2025-12-31 11:27,28414
ABCAPITAL,2026-01-27,390.0,1.6,610700.0,38.9,12400.0,354.4,1.46,2025-12-31 11:27,33813
ABCAPITAL,2026-01-27,395.0,1.35,189100.0,0.0,0.0,354.4,1.46,2025-12-31 11:27,39551
ABCAPITAL,2026-01-27,400.0,0.95,2207200.0,40.25,18600.0,354.4,1.46,2025-12-31 11:27,45359
ADANIENSOL,2026-01-27,840.0,160.55,2025.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,6904
ADANIENSOL,2026-01-27,860.0,165.5,4050.0,2.2,35775.0,1019.65,-0.439,2025-12-31 11:27,5243
ADANIENSOL,2026-01-27,880.0,0.0,0.0,2.4,26325.0,1019.65,-0.439,2025-12-31 11:27,3687
ADANIENSOL,2026-01-27,890.0,0.0,0.0,8.55,2700.0,1019.65,-0.439,2025-12-31 11:27,2900
ADANIENSOL,2026-01-27,900.0,125.6,4050.0,3.35,122850.0,1019.65,-0.439,2025-12-31 11:27,2119
ADANIENSOL,2026-01-27,910.0,0.0,0.0,3.95,3375.0,1019.65,-0.439,2025-12-31 11:27,1478
ADANIENSOL,2026-01-27,920.0,0.0,0.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,828
ADANIENSOL,2026-01-27,930.0,0.0,0.0,5.9,18225.0,1019.65,-0.439,2025-12-31 11:27,180
ADANIENSOL,2026-01-27,940.0,0.0,0.0,6.7,77625.0,1019.65,-0.439,2025-12-31 11:27,-459
ADANIENSOL,2026-01-27,950.0,83.0,2025.0,8.25,31050.0,1019.65,-0.439,2025-12-31 11:27,-1063
ADANIENSOL,2026-01-27,960.0,78.0,3375.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,-1591
ADANIENSOL,2026-01-27,970.0,0.0,0.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,-2081
ADANIENSOL,2026-01-27,980.0,59.85,8100.0,14.05,239625.0,1019.65,-0.439,2025-12-31 11:27,-2596
ADANIENSOL,2026-01-27,990.0,41.7,2025.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,-3152
ADANIENSOL,2026-01-27,1000.0,46.95,185625.0,20.0,116775.0,1019.65,-0.439,2025-12-31 11:27,-3410
ADANIENSOL,2026-01-27,1010.0,40.35,22275.0,24.05,86400.0,1019.65,-0.439,2025-12-31 11:27,-2736
ADANIENSOL,2026-01-27,1020.0,34.5,303750.0,28.45,64800.0,1019.65,-0.439,2025-12-31 11:27,-2708
ADANIENSOL,2026-01-27,1030.0,0.0,0.0,33.05,3375.0,1019.65,-0.439,2025-12-31 11:27,-1331
ADANIENSOL,2026-01-27,1040.0,25.25,369225.0,59.6,675.0,1019.65,-0.439,2025-12-31 11:27,-825
ADANIENSOL,2026-01-27,1050.0,0.0,0.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,989
ADANIENSOL,2026-01-27,1060.0,0.0,0.0,51.2,8100.0,1019.65,-0.439,2025-12-31 11:27,1876
ADANIENSOL,2026-01-27,1070.0,14.9,45225.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,2730
ADANIENSOL,2026-01-27,1080.0,12.75,55350.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,3737
ADANIENSOL,2026-01-27,1090.0,10.3,20925.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,4803
ADANIENSOL,2026-01-27,1100.0,8.95,321975.0,87.0,11475.0,1019.65,-0.439,2025-12-31 11:27,5842
ADANIENSOL,2026-01-27,1110.0,0.0,0.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,7380
ADANIENSOL,2026-01-27,1120.0,6.4,32400.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,8730
ADANIENSOL,2026-01-27,1140.0,4.6,87750.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,11515
ADANIENSOL,2026-01-27,1160.0,3.3,120150.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,14496
ADANIENSOL,2026-01-27,1180.0,0.0,0.0,0.0,0.0,1019.65,-0.439,2025-12-31 11:27,17716
ADANIENT,2026-01-27,1840.0,0.0,0.0,2.25,39552.0,2232.2,0.79,2025-12-31 11:27,176264
ADANIENT,2026-01-27,1880.0,0.0,0.0,2.5,56547.0,2232.2,0.79,2025-12-31 11:27,157338
ADANIENT,2026-01-27,1920.0,302.0,6489.0,3.55,61182.0,2232.2,0.79,2025-12-31 11:27,138633
ADANIENT,2026-01-27,1938.95,537.85,309.0,4.05,22866.0,2232.2,0.79,2025-12-31 11:27,130080
ADANIENT,2026-01-27,1940.0,301.0,309.0,3.8,39243.0,2232.2,0.79,2025-12-31 11:27,129607
ADANIENT,2026-01-27,1960.0,0.0,0.0,4.5,22248.0,2232.2,0.79,2025-12-31 11:27,120516
ADANIENT,2026-01-27,1980.0,0.0,0.0,5.0,24102.0,2232.2,0.79,2025-12-31 11:27,111466
ADANIENT,2026-01-27,2000.0,241.0,7416.0,6.2,204867.0,2232.2,0.79,2025-12-31 11:27,102462
