Stock,LTP,High,Low,timestamp
360ONE,1182.9,1197.1,1170.3,2026-01-09 05:19:05
ABB,5021.0,5368.0,4983.5,2026-01-09 05:19:05
ABCAPITAL,358.55,363.1,354.6,2026-01-09 05:19:05
ADANIENSOL,994.3,1032.0,988.0,2026-01-09 05:19:05
ADANIENT,2214.0,2275.9,2205.0,2026-01-09 05:19:05
ADANIGREEN,988.8,1024.1,982.9,2026-01-09 05:19:05
ADANIPORTS,1465.2,1489.0,1460.3,2026-01-09 05:19:05
ALKEM,5793.0,5847.5,5763.5,2026-01-09 05:19:05
AMBER,6527.0,6720.0,6500.0,2026-01-09 05:19:05
AMBUJACEM,546.7,562.0,545.15,2026-01-09 05:19:05
ANGELONE,2412.6,2517.4,2398.1,2026-01-09 05:19:05
APLAPOLLO,1913.9,1949.1,1911.0,2026-01-09 05:19:05
APOLLOHOSP,7364.5,7443.0,7325.0,2026-01-09 05:19:05
ASHOKLEY,184.52,186.3,184.01,2026-01-09 05:19:05
ASIANPAINT,2786.5,2804.7,2770.1,2026-01-09 05:19:05
ASTRAL,1476.3,1512.0,1464.0,2026-01-09 05:19:05
AUBANK,992.1,1006.7,988.85,2026-01-09 05:19:05
AUROPHARMA,1206.1,1236.0,1203.0,2026-01-09 05:19:05
AXISBANK,1286.8,1303.2,1283.8,2026-01-09 05:19:05
BAJAJ-AUTO,9760.5,9888.0,9725.0,2026-01-09 05:19:05
BAJAJFINSV,2008.9,2029.1,1989.2,2026-01-09 05:19:05
BAJAJHLDNG,11209.0,11660.0,11138.0,2026-01-09 05:19:05
BAJFINANCE,971.95,978.35,965.3,2026-01-09 05:19:05
BANDHANBNK,144.98,147.82,143.71,2026-01-09 05:19:05
BANKBARODA,299.55,309.3,298.7,2026-01-09 05:19:05
BANKINDIA,146.93,151.39,146.3,2026-01-09 05:19:05
BDL,1533.6,1568.9,1528.0,2026-01-09 05:19:05
BEL,415.65,422.95,414.05,2026-01-09 05:19:05
BHARATFORG,1454.1,1485.7,1446.8,2026-01-09 05:19:05
BHARTIARTL,2066.3,2092.0,2055.0,2026-01-09 05:19:05
BHEL,271.75,303.9,261.5,2026-01-09 05:19:05
BIOCON,377.95,388.35,376.3,2026-01-09 05:19:05
BLUESTARCO,1819.2,1861.0,1811.0,2026-01-09 05:19:05
BOSCHLTD,38660.0,39200.0,38405.0,2026-01-09 05:19:05
BPCL,354.55,366.55,352.2,2026-01-09 05:19:05
BRITANNIA,6033.5,6158.5,5945.5,2026-01-09 05:19:05
BSE,2694.0,2787.0,2686.4,2026-01-09 05:19:05
CAMS,745.9,761.9,742.5,2026-01-09 05:19:05
CANBK,150.46,153.8,149.64,2026-01-09 05:19:05
CDSL,1438.2,1480.3,1433.5,2026-01-09 05:19:05
CGPOWER,614.25,661.0,593.3,2026-01-09 05:19:05
CHOLAFIN,1754.0,1790.0,1735.5,2026-01-09 05:19:05
CIPLA,1460.6,1469.3,1458.0,2026-01-09 05:19:05
COALINDIA,425.25,434.0,423.45,2026-01-09 05:19:05
COFORGE,1647.0,1707.7,1643.7,2026-01-09 05:19:05
COLPAL,2046.6,2077.9,2033.0,2026-01-09 05:19:05
CONCOR,518.5,533.85,515.1,2026-01-09 05:19:05
CROMPTON,257.65,266.0,256.75,2026-01-09 05:19:05
CUMMINSIND,4118.0,4235.0,4096.0,2026-01-09 05:19:05
DABUR,519.45,526.6,515.0,2026-01-09 05:19:05
DALBHARAT,2066.2,2116.3,2061.1,2026-01-09 05:19:05
DELHIVERY,417.45,423.2,412.0,2026-01-09 05:19:05
DIVISLAB,6600.5,6700.0,6580.5,2026-01-09 05:19:05
DIXON,11987.0,12055.0,11708.0,2026-01-09 05:19:05
DLF,692.4,713.75,690.0,2026-01-09 05:19:05
DMART,3789.8,3872.4,3781.0,2026-01-09 05:19:05
DRREDDY,1206.9,1241.6,1202.2,2026-01-09 05:19:05
EICHERMOT,7551.0,7601.0,7539.0,2026-01-09 05:19:05
ETERNAL,283.55,287.4,279.0,2026-01-09 05:19:05
EXIDEIND,352.8,361.85,351.5,2026-01-09 05:19:05
FEDERALBNK,255.75,259.15,253.8,2026-01-09 05:19:05
FORTIS,917.05,940.95,912.75,2026-01-09 05:19:05
GAIL,163.53,168.42,163.05,2026-01-09 05:19:05
GLENMARK,2079.8,2122.1,2074.0,2026-01-09 05:19:05
GMRAIRPORT,102.51,104.99,102.15,2026-01-09 05:19:05
GODREJCP,1243.2,1249.7,1230.6,2026-01-09 05:19:05
GODREJPROP,2095.1,2166.2,2088.0,2026-01-09 05:19:05
GRASIM,2792.0,2831.9,2787.1,2026-01-09 05:19:05
HAL,4479.8,4579.0,4465.6,2026-01-09 05:19:05
HAVELLS,1483.7,1499.0,1469.5,2026-01-09 05:19:05
HCLTECH,1646.7,1660.6,1635.4,2026-01-09 05:19:05
HDFCAMC,2583.0,2625.2,2567.0,2026-01-09 05:19:05
HDFCBANK,946.7,953.0,941.4,2026-01-09 05:19:05
HDFCLIFE,758.15,774.35,752.65,2026-01-09 05:19:05
HEROMOTOCO,5850.0,5985.0,5830.0,2026-01-09 05:19:05
HINDALCO,903.95,934.2,898.6,2026-01-09 05:19:05
HINDPETRO,452.2,475.0,448.95,2026-01-09 05:19:05
HINDUNILVR,2386.7,2418.1,2368.1,2026-01-09 05:19:05
HINDZINC,590.75,623.45,588.35,2026-01-09 05:19:05
HUDCO,217.53,229.72,215.59,2026-01-09 05:19:05
ICICIBANK,1435.0,1442.2,1423.3,2026-01-09 05:19:05
