Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-01-27,960.0,0.0,0.0,0.0,2.0,5000.0,6500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,14843
360ONE,2026-01-27,1000.0,0.0,0.0,0.0,2.9,4000.0,0.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,11262
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,5.05,39000.0,61000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,9479
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,6.8,11500.0,23000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,7756
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,10.05,1500.0,3500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,6067
360ONE,2026-01-27,1080.0,130.0,2000.0,0.0,14.1,58000.0,131500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,4432
360ONE,2026-01-27,1100.0,65.2,76000.0,4500.0,19.8,166000.0,417000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,2824
360ONE,2026-01-27,1120.0,0.0,0.0,0.0,26.4,49000.0,120000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,1923
360ONE,2026-01-27,1140.0,39.3,25000.0,28500.0,35.5,73000.0,269000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,824
360ONE,2026-01-27,1160.0,29.3,45500.0,76500.0,45.65,102500.0,220000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,-110
360ONE,2026-01-27,1180.0,22.65,111500.0,136500.0,59.7,127000.0,71000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,-923
360ONE,2026-01-27,1200.0,16.75,263000.0,270000.0,68.65,183500.0,28500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,-1429
360ONE,2026-01-27,1220.0,12.0,206500.0,317000.0,88.65,29000.0,9000.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,-1356
360ONE,2026-01-27,1240.0,8.55,186500.0,138500.0,99.8,41500.0,6500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,-3
360ONE,2026-01-27,1260.0,6.7,115000.0,61500.0,76.0,5000.0,0.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,1561
360ONE,2026-01-27,1280.0,4.9,146000.0,119500.0,128.0,1000.0,500.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,3659
360ONE,2026-01-27,1300.0,3.7,115000.0,81000.0,126.0,500.0,0.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,6070
360ONE,2026-01-27,1320.0,3.05,70000.0,18500.0,0.0,0.0,0.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,8691
360ONE,2026-01-27,1360.0,1.95,47000.0,33000.0,168.3,3000.0,0.0,1138.5,1184.4,1135.8,-3.753,2026-01-09 13:36:44,14160
ABB,2026-01-27,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,66236
ABB,2026-01-27,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,62072
ABB,2026-01-27,4300.0,935.0,250.0,0.0,5.8,23625.0,31500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,57908
ABB,2026-01-27,4350.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,53874
ABB,2026-01-27,4400.0,786.0,625.0,0.0,7.05,0.0,500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,49829
ABB,2026-01-27,4450.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,45837
ABB,2026-01-27,4500.0,556.25,375.0,0.0,10.1,26875.0,82250.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,41796
ABB,2026-01-27,4550.0,663.35,500.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,37885
ABB,2026-01-27,4600.0,0.0,0.0,0.0,14.7,16875.0,14000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,34015
ABB,2026-01-27,4650.0,0.0,0.0,0.0,17.2,4250.0,4000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,30172
ABB,2026-01-27,4700.0,0.0,0.0,0.0,22.35,42875.0,111000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,26368
ABB,2026-01-27,4750.0,0.0,0.0,0.0,28.6,625.0,2000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,22690
ABB,2026-01-27,4800.0,0.0,0.0,0.0,34.45,117125.0,615375.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,19109
ABB,2026-01-27,4850.0,0.0,0.0,0.0,44.05,500.0,1000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,15711
ABB,2026-01-27,4900.0,267.2,6875.0,4625.0,50.0,46875.0,139500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,12718
ABB,2026-01-27,4950.0,237.4,2875.0,3500.0,62.8,15750.0,50500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,9945
ABB,2026-01-27,5000.0,189.95,22875.0,104750.0,79.6,117000.0,257375.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,7285
ABB,2026-01-27,5050.0,159.9,13500.0,71625.0,97.35,18000.0,70500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,4858
ABB,2026-01-27,5100.0,128.7,62250.0,568250.0,123.9,78500.0,167375.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,3126
ABB,2026-01-27,5150.0,106.85,24875.0,86500.0,144.1,32125.0,31250.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,1886
ABB,2026-01-27,5200.0,87.0,152125.0,334125.0,173.35,112875.0,31500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,905
ABB,2026-01-27,5250.0,67.35,59500.0,93125.0,226.3,21375.0,2000.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,813
ABB,2026-01-27,5300.0,53.55,177875.0,351750.0,234.35,44500.0,8500.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,1676
ABB,2026-01-27,5350.0,42.0,69000.0,101000.0,277.25,9875.0,14125.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,3643
ABB,2026-01-27,5400.0,32.45,145375.0,294000.0,317.0,11250.0,2375.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,6111
ABB,2026-01-27,5450.0,24.3,28125.0,43750.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,9461
ABB,2026-01-27,5500.0,20.0,132125.0,267500.0,425.0,16625.0,750.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,12905
ABB,2026-01-27,5550.0,16.15,18250.0,5875.0,506.4,375.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,16582
ABB,2026-01-27,5600.0,12.9,66625.0,62625.0,304.9,17250.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,20805
ABB,2026-01-27,5650.0,0.0,0.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,24997
ABB,2026-01-27,5700.0,9.25,90750.0,59750.0,521.85,6875.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,29629
ABB,2026-01-27,5750.0,7.45,9875.0,5875.0,412.0,1375.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,34474
ABB,2026-01-27,5800.0,7.3,103750.0,138125.0,586.4,2750.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,39601
ABB,2026-01-27,5850.0,4.25,375.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,45224
ABB,2026-01-27,5900.0,5.95,3125.0,0.0,0.0,0.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,50935
ABB,2026-01-27,6000.0,3.8,76375.0,24250.0,751.4,28000.0,0.0,5091.5,5138.0,4983.5,1.404,2026-01-09 13:36:44,62389
