Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
360ONE,2026-01-27,920.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,1.068,2026-01-22 10:48:58,31918
360ONE,2026-01-27,960.0,239.15,1500.0,0.0,0.2,21000.0,6500.0,1107.0,1.068,2026-01-22 10:48:58,24634
360ONE,2026-01-27,980.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,1.068,2026-01-22 10:48:58,21073
360ONE,2026-01-27,1000.0,111.0,25500.0,3500.0,0.25,47000.0,45500.0,1107.0,1.068,2026-01-22 10:48:58,17476
360ONE,2026-01-27,1020.0,0.0,0.0,0.0,0.25,48500.0,11000.0,1107.0,1.068,2026-01-22 10:48:58,14306
360ONE,2026-01-27,1040.0,0.0,0.0,0.0,0.3,42500.0,3500.0,1107.0,1.068,2026-01-22 10:48:58,10949
360ONE,2026-01-27,1060.0,129.8,3000.0,0.0,0.65,622000.0,277500.0,1107.0,1.068,2026-01-22 10:48:58,7678
360ONE,2026-01-27,1080.0,33.5,5000.0,5500.0,2.6,264500.0,148000.0,1107.0,1.068,2026-01-22 10:48:58,5657
360ONE,2026-01-27,1100.0,17.2,110000.0,71000.0,8.2,206000.0,115000.0,1107.0,1.068,2026-01-22 10:48:58,4124
360ONE,2026-01-27,1120.0,8.15,185500.0,331500.0,18.0,75500.0,10000.0,1107.0,1.068,2026-01-22 10:48:58,3295
360ONE,2026-01-27,1140.0,3.5,418000.0,296000.0,34.1,109000.0,2000.0,1107.0,1.068,2026-01-22 10:48:58,2983
360ONE,2026-01-27,1160.0,1.9,236000.0,253500.0,51.1,54000.0,5000.0,1107.0,1.068,2026-01-22 10:48:58,3485
360ONE,2026-01-27,1180.0,1.1,253000.0,133000.0,65.4,120500.0,1500.0,1107.0,1.068,2026-01-22 10:48:58,4561
360ONE,2026-01-27,1200.0,0.75,526500.0,164000.0,94.15,74000.0,1000.0,1107.0,1.068,2026-01-22 10:48:58,5854
360ONE,2026-01-27,1220.0,0.7,527500.0,292500.0,112.85,30500.0,0.0,1107.0,1.068,2026-01-22 10:48:58,8452
360ONE,2026-01-27,1240.0,0.45,313500.0,64000.0,130.2,70000.0,500.0,1107.0,1.068,2026-01-22 10:48:58,12516
360ONE,2026-01-27,1260.0,0.35,192500.0,60500.0,121.1,23500.0,0.0,1107.0,1.068,2026-01-22 10:48:58,16757
360ONE,2026-01-27,1280.0,0.35,170500.0,46500.0,81.0,1000.0,0.0,1107.0,1.068,2026-01-22 10:48:58,22049
360ONE,2026-01-27,1300.0,0.3,212000.0,16000.0,120.0,6000.0,0.0,1107.0,1.068,2026-01-22 10:48:58,27960
360ONE,2026-01-27,1320.0,0.35,64000.0,5500.0,0.0,0.0,0.0,1107.0,1.068,2026-01-22 10:48:58,34243
360ONE,2026-01-27,1340.0,0.5,22500.0,0.0,230.7,1500.0,2500.0,1107.0,1.068,2026-01-22 10:48:58,40722
360ONE,2026-01-27,1360.0,0.15,145000.0,7500.0,152.1,4000.0,0.0,1107.0,1.068,2026-01-22 10:48:58,47214
360ONE,2026-01-27,1380.0,0.2,58500.0,5000.0,0.0,0.0,0.0,1107.0,1.068,2026-01-22 10:48:58,53978
ABB,2026-01-27,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,73037
ABB,2026-01-27,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,66077
ABB,2026-01-27,4100.0,0.0,0.0,0.0,1.45,875.0,0.0,4759.5,1.105,2026-01-22 10:48:58,59117
ABB,2026-01-27,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,55642
ABB,2026-01-27,4200.0,615.0,0.0,0.0,0.0,0.0,0.0,4759.5,1.105,2026-01-22 10:48:58,52166
ABB,2026-01-27,4250.0,0.0,0.0,0.0,2.05,2750.0,125.0,4759.5,1.105,2026-01-22 10:48:58,48690
ABB,2026-01-27,4300.0,725.0,125.0,0.0,3.8,29375.0,13500.0,4759.5,1.105,2026-01-22 10:48:58,45228
ABB,2026-01-27,4350.0,0.0,0.0,0.0,3.25,2500.0,0.0,4759.5,1.105,2026-01-22 10:48:58,41912
ABB,2026-01-27,4400.0,786.0,625.0,0.0,4.6,15375.0,13875.0,4759.5,1.105,2026-01-22 10:48:58,38609
ABB,2026-01-27,4450.0,0.0,0.0,0.0,7.65,17875.0,0.0,4759.5,1.105,2026-01-22 10:48:58,35429
ABB,2026-01-27,4500.0,232.8,625.0,0.0,7.1,44875.0,18000.0,4759.5,1.105,2026-01-22 10:48:58,32283
ABB,2026-01-27,4550.0,180.85,1000.0,0.0,9.15,16625.0,8375.0,4759.5,1.105,2026-01-22 10:48:58,29361
ABB,2026-01-27,4600.0,179.0,1500.0,875.0,12.7,61625.0,53000.0,4759.5,1.105,2026-01-22 10:48:58,26547
ABB,2026-01-27,4650.0,0.0,0.0,0.0,17.6,20250.0,28125.0,4759.5,1.105,2026-01-22 10:48:58,23994
ABB,2026-01-27,4700.0,91.3,24875.0,36750.0,26.85,37750.0,46250.0,4759.5,1.105,2026-01-22 10:48:58,21558
ABB,2026-01-27,4750.0,58.9,28750.0,32875.0,40.5,23250.0,19250.0,4759.5,1.105,2026-01-22 10:48:58,19597
ABB,2026-01-27,4800.0,32.25,59250.0,126500.0,65.0,30250.0,42125.0,4759.5,1.105,2026-01-22 10:48:58,17845
ABB,2026-01-27,4850.0,15.95,31250.0,36750.0,79.95,5000.0,4250.0,4759.5,1.105,2026-01-22 10:48:58,16461
ABB,2026-01-27,4900.0,8.1,52500.0,67125.0,144.15,17875.0,21500.0,4759.5,1.105,2026-01-22 10:48:58,15272
