Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
360ONE,2026-02-24,920.0,0.0,0.0,0.0,1.0,6000.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,3185
360ONE,2026-02-24,960.0,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,2311
360ONE,2026-02-24,980.0,0.0,0.0,0.0,4.3,500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,1874
360ONE,2026-02-24,1000.0,138.85,4500.0,0.0,9.15,29500.0,3000.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,1437
360ONE,2026-02-24,1020.0,130.0,2000.0,0.0,0.0,0.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,1105
360ONE,2026-02-24,1040.0,0.0,0.0,0.0,14.0,29500.0,5000.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,767
360ONE,2026-02-24,1060.0,96.5,500.0,0.0,18.3,14000.0,21500.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,420
360ONE,2026-02-24,1080.0,70.3,6500.0,0.0,18.4,17000.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,124
360ONE,2026-02-24,1100.0,59.95,25000.0,5000.0,28.35,38000.0,13000.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,-90
360ONE,2026-02-24,1120.0,44.35,15500.0,4500.0,36.85,11000.0,2000.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,-151
360ONE,2026-02-24,1140.0,37.25,46000.0,22500.0,48.25,25000.0,5000.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,-173
360ONE,2026-02-24,1160.0,28.0,21000.0,10000.0,52.8,3500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,-30
360ONE,2026-02-24,1180.0,24.0,37500.0,500.0,72.95,2500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,151
360ONE,2026-02-24,1200.0,15.75,85000.0,28000.0,80.6,38500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,443
360ONE,2026-02-24,1220.0,11.0,21500.0,3000.0,101.05,500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,735
360ONE,2026-02-24,1240.0,7.5,20500.0,4000.0,116.55,5500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,1265
360ONE,2026-02-24,1260.0,8.5,0.0,1500.0,0.0,0.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,1781
360ONE,2026-02-24,1280.0,4.0,28500.0,1500.0,149.95,500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,2345
360ONE,2026-02-24,1300.0,2.8,41500.0,3000.0,167.6,2500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,2971
360ONE,2026-02-24,1320.0,5.25,1000.0,0.0,185.75,500.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,3650
360ONE,2026-02-24,1360.0,5.05,11000.0,0.0,0.0,0.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,5068
360ONE,2026-02-24,1380.0,2.05,3000.0,0.0,0.0,0.0,0.0,1130.0,1135.1,1115.1,-0.379,2026-02-01 11:01:20,5808
ABB,2026-02-24,3900.0,0.0,0.0,0.0,2.0,2250.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,69735
ABB,2026-02-24,4000.0,1594.25,125.0,0.0,2.85,14625.0,1125.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,61566
ABB,2026-02-24,4100.0,0.0,0.0,0.0,0.1,1375.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,53561
ABB,2026-02-24,4200.0,1333.75,250.0,250.0,4.8,7875.0,1125.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,45553
ABB,2026-02-24,4300.0,0.0,0.0,0.0,5.2,9625.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,37656
ABB,2026-02-24,4350.0,0.0,0.0,0.0,0.55,2000.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,33736
ABB,2026-02-24,4400.0,1135.0,625.0,0.0,9.0,16750.0,1625.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,29831
ABB,2026-02-24,4450.0,0.0,0.0,0.0,10.0,1875.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,26069
ABB,2026-02-24,4500.0,1068.5,1625.0,0.0,14.8,20875.0,375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,22258
ABB,2026-02-24,4550.0,0.0,0.0,0.0,12.0,1125.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,18705
ABB,2026-02-24,4600.0,999.8,2375.0,0.0,15.0,33750.0,1500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,15013
ABB,2026-02-24,4650.0,0.0,0.0,0.0,15.55,3875.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,11690
ABB,2026-02-24,4700.0,865.85,16125.0,0.0,20.0,48750.0,5500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,8193
ABB,2026-02-24,4750.0,796.9,4375.0,0.0,20.4,4625.0,250.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,6326
ABB,2026-02-24,4800.0,793.25,25375.0,0.0,27.0,61125.0,9500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,3544
ABB,2026-02-24,4850.0,761.1,8500.0,0.0,27.8,22250.0,1375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,2703
ABB,2026-02-24,4900.0,630.45,13875.0,1500.0,39.6,43125.0,17500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,753
ABB,2026-02-24,4950.0,670.05,11000.0,0.0,47.0,8250.0,4000.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-792
ABB,2026-02-24,5000.0,517.45,37125.0,2500.0,52.3,94875.0,78875.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2248
ABB,2026-02-24,5050.0,484.0,20250.0,250.0,63.75,9250.0,3500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2317
ABB,2026-02-24,5100.0,450.15,45625.0,1250.0,73.05,44500.0,25875.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2742
ABB,2026-02-24,5150.0,438.25,3375.0,250.0,90.0,13750.0,375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-1909
ABB,2026-02-24,5200.0,400.0,39875.0,500.0,99.85,76500.0,52750.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2695
ABB,2026-02-24,5250.0,389.75,1000.0,125.0,112.7,9750.0,1250.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2092
ABB,2026-02-24,5300.0,325.3,67875.0,5125.0,135.0,41750.0,27500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-2337
ABB,2026-02-24,5350.0,297.05,19250.0,1875.0,144.3,8375.0,7375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,-319
ABB,2026-02-24,5400.0,264.65,50500.0,10375.0,171.05,37500.0,38375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,643
ABB,2026-02-24,5450.0,245.0,20000.0,9250.0,194.75,10250.0,26500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,2290
ABB,2026-02-24,5500.0,218.9,100125.0,90125.0,218.0,56875.0,113875.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,3684
ABB,2026-02-24,5550.0,191.35,30500.0,31000.0,247.0,25875.0,24875.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,6524
ABB,2026-02-24,5600.0,171.6,94875.0,119375.0,273.3,35375.0,20500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,8638
ABB,2026-02-24,5650.0,145.6,6625.0,5375.0,273.9,0.0,375.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,12121
ABB,2026-02-24,5700.0,138.0,103125.0,111500.0,336.65,7500.0,2625.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,15071
ABB,2026-02-24,5750.0,113.25,11875.0,4375.0,370.0,1000.0,500.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,19649
ABB,2026-02-24,5800.0,106.25,41375.0,76375.0,428.0,2250.0,2625.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,23219
ABB,2026-02-24,5850.0,98.0,2875.0,625.0,405.55,250.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,27252
ABB,2026-02-24,5900.0,83.0,38000.0,24000.0,0.0,0.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,30976
ABB,2026-02-24,5950.0,74.1,1625.0,625.0,0.0,0.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,35187
ABB,2026-02-24,6000.0,63.7,229750.0,128250.0,510.0,22000.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,39103
ABB,2026-02-24,6050.0,49.4,5625.0,750.0,0.0,0.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,44607
ABB,2026-02-24,6100.0,48.05,138500.0,40250.0,607.75,17375.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,49825
ABB,2026-02-24,6150.0,0.0,0.0,0.0,0.0,0.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,55405
ABB,2026-02-24,6200.0,38.0,16375.0,14750.0,0.0,0.0,0.0,5490.0,5588.5,5450.0,-1.586,2026-02-01 11:01:20,61375
