Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
RELIANCE,2026-01-27,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,759476
RELIANCE,2026-01-27,1260.0,218.4,33500.0,0.0,0.8,3000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,692225
RELIANCE,2026-01-27,1270.0,0.0,0.0,0.0,0.85,71000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,659368
RELIANCE,2026-01-27,1280.0,0.0,0.0,0.0,1.05,228500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,625844
RELIANCE,2026-01-27,1290.0,0.0,0.0,0.0,1.1,13500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,592530
RELIANCE,2026-01-27,1300.0,170.75,28500.0,0.0,1.3,320000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,559253
RELIANCE,2026-01-27,1310.0,0.0,0.0,0.0,1.4,43000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,526770
RELIANCE,2026-01-27,1320.0,161.3,795500.0,0.0,1.5,727500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,493880
RELIANCE,2026-01-27,1330.0,0.0,0.0,0.0,1.85,154000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,475241
RELIANCE,2026-01-27,1340.0,172.5,2500.0,0.0,2.0,204500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,444005
RELIANCE,2026-01-27,1350.0,131.35,0.0,0.0,2.35,511000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,413006
RELIANCE,2026-01-27,1360.0,119.3,25000.0,0.0,2.7,793500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,382397
RELIANCE,2026-01-27,1370.0,0.0,0.0,0.0,3.35,158000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,352810
RELIANCE,2026-01-27,1380.0,103.3,16000.0,0.0,4.0,527000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,323244
RELIANCE,2026-01-27,1390.0,0.0,0.0,0.0,4.85,316000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,294228
RELIANCE,2026-01-27,1400.0,84.5,404000.0,0.0,6.0,2311500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,265421
RELIANCE,2026-01-27,1410.0,75.3,5000.0,0.0,7.4,315500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,241509
RELIANCE,2026-01-27,1420.0,67.15,21000.0,0.0,9.05,1166000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,215696
RELIANCE,2026-01-27,1430.0,59.65,39500.0,0.0,11.0,695500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,190350
RELIANCE,2026-01-27,1440.0,52.45,92500.0,0.0,13.65,978000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,166125
RELIANCE,2026-01-27,1450.0,45.7,439500.0,0.0,16.45,2319000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,142650
RELIANCE,2026-01-27,1460.0,39.25,481500.0,0.0,20.25,1127500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,120976
RELIANCE,2026-01-27,1470.0,33.25,1077000.0,0.0,24.5,1380000.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,102325
RELIANCE,2026-01-27,1480.0,28.25,2313000.0,0.0,28.85,1722500.0,0.0,1475.3,1479.9,1465,0.32,2026-01-12 03:03:20,86724
