timestamp1,time,sigma_atm_diff
2026-01-23_09-23,09:23,915.67
2026-01-23_09-34,09:34,8503.56
2026-01-23_09-41,09:41,12761.68
2026-01-23_10-04,10:04,13290.88
2026-01-23_10-23,10:23,12697.47
2026-01-23_10-24,10:24,12748.32
2026-01-23_10-33,10:33,14365.26
2026-01-23_10-49,10:49,15727.43
2026-01-23_10-54,10:54,13588.84
2026-01-23_11-08,11:08,11442.7
2026-01-23_11-17,11:17,10551.21
2026-01-23_11-21,11:21,9434.32
2026-01-23_11-24,11:24,7971.0
2026-01-23_11-28,11:28,8289.95
2026-01-23_11-48,11:48,9131.07
2026-01-23_11-50,11:50,7817.7
2026-01-23_11-55,11:55,5561.51
2026-01-23_12-04,12:04,4329.27
2026-01-23_12-25,12:25,1127.18
2026-01-23_12-28,12:28,1402.19
2026-01-23_12-31,12:31,183.21
2026-01-23_12-50,12:50,-2573.31
2026-01-23_12-55,12:55,-650.87
2026-01-23_12-58,12:58,-1644.08
2026-01-23_13-02,13:02,-902.67
