time,Σ_ATM
10:03,0.0
10:11,-15614956.0
10:19,-17339373.0
10:23,-16774706.0
10:28,-15673246.0
10:31,-14694376.0
10:35,-14706584.0
10:37,-14408048.0
10:43,-12197225.0
10:49,-12303748.0
10:57,-11840383.0
10:59,-11584602.0
11:01,-11825748.0
11:05,-12821550.0
11:09,-12233161.0
11:11,-12480215.0
11:13,-12725769.0
11:21,-13164445.0
11:23,-13005852.0
11:25,-12843642.0
11:29,-13475041.0
11:31,-13657460.0
11:37,-14010292.0
11:43,-15058509.0
11:48,-15621405.0
11:52,-14531281.0
11:55,-13994485.0
12:01,-14483203.0
