time,Σ_ATM,AVG_LTP_%_x1000
10:11,0.0,0.0
10:19,207649.0,172.78
10:23,249249.0,104.74
10:28,426098.0,-12.4
10:31,500139.0,-75.83
10:35,509156.0,-48.85
10:37,507030.0,-87.58000000000001
10:43,356311.0,-352.36
10:49,-1657.0,-394.42
10:57,-103773.0,-487.87
10:59,-85554.0,-510.77
11:01,-114361.0,-461.94
11:05,-227230.0,-328.05
11:09,-335254.0,-419.24
11:11,-373527.0,-409.88
11:13,-352034.0,-359.27
11:21,-361295.0,-240.98
11:23,-357894.0,-268.88
11:25,-495215.0,-333.21
11:29,-400360.0,-244.04
11:31,-379598.0,-189.67
11:37,-189243.0,-126.36
11:43,-16354.0,7.82
11:48,-10727.0,-41.94
11:52,47705.0,-128.2
11:55,-3358.0,-203.43
12:01,-8713.0,-152.35
