time,stock,atm_diff
09:34,360ONE,
09:34,ABB,
09:34,ABCAPITAL,
09:34,ADANIENSOL,
09:34,ADANIENT,
09:34,ADANIGREEN,
09:34,ADANIPORTS,
09:34,ALKEM,
09:34,AMBER,
09:34,AMBUJACEM,
09:34,ANGELONE,
09:34,APLAPOLLO,
09:34,APOLLOHOSP,
09:34,ASHOKLEY,
09:34,ASIANPAINT,
09:34,ASTRAL,
09:34,AUBANK,
09:34,AUROPHARMA,
09:34,AXISBANK,
09:34,BAJAJ-AUTO,
09:34,BAJAJFINSV,
09:34,BAJAJHLDNG,
09:34,BAJFINANCE,
09:34,BANDHANBNK,
09:34,BANKBARODA,
09:34,BANKINDIA,
09:34,BDL,
09:34,BEL,
09:34,BHARATFORG,
09:34,BHARTIARTL,
09:34,BHEL,
09:34,BIOCON,
09:34,BLUESTARCO,
09:34,BOSCHLTD,
09:34,BPCL,
09:34,BRITANNIA,
09:34,BSE,
09:34,CAMS,
09:34,CANBK,
09:34,CDSL,
09:34,CGPOWER,
09:34,CHOLAFIN,
09:34,CIPLA,
09:34,COALINDIA,
09:34,COFORGE,
09:34,COLPAL,
09:34,CONCOR,
09:34,CROMPTON,
09:34,CUMMINSIND,
09:34,DABUR,
09:34,DALBHARAT,
09:34,DELHIVERY,
09:34,DIVISLAB,
09:34,DIXON,
09:34,DLF,
09:34,DMART,
09:34,DRREDDY,
09:34,EICHERMOT,
09:34,ETERNAL,
09:34,EXIDEIND,
09:34,FEDERALBNK,
09:34,FORTIS,
09:34,GAIL,
09:34,GLENMARK,
09:34,GMRAIRPORT,
09:34,GODREJCP,
09:34,GODREJPROP,
09:34,GRASIM,
09:34,HAL,
09:34,HAVELLS,
09:34,HCLTECH,
09:34,HDFCAMC,
09:34,HDFCBANK,
09:34,HDFCLIFE,
09:34,HEROMOTOCO,
09:34,HINDALCO,
09:34,HINDPETRO,
09:34,HINDUNILVR,
09:34,HINDZINC,
09:34,HUDCO,
09:34,ICICIBANK,
09:34,ICICIGI,
09:34,ICICIPRULI,
09:34,IDEA,
09:34,IDFCFIRSTB,
09:34,IEX,
09:34,IIFL,
09:34,INDHOTEL,
09:34,INDIANB,
09:34,INDIGO,
09:34,INDUSINDBK,
09:34,INDUSTOWER,
09:34,INFY,
09:34,INOXWIND,
09:34,IOC,
09:34,IRCTC,
09:34,IREDA,
09:34,IRFC,
