Stock,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Stock_LTP,Stock_High,Stock_Low,Stock_%_Change,timestamp,Max_Pain
NIFTY,2026-01-27,23500.0,1669.85,2080,8905,4.9,6545110,57699850,0,0,0,0,2026-01-22 03:40:00,16698459
NIFTY,2026-01-27,23550.0,1695.65,1105,6500,5.15,243360,7314905,0,0,0,0,2026-01-22 03:40:00,16094745
NIFTY,2026-01-27,23600.0,0.0,0,0,5.3,958620,14589965,0,0,0,0,2026-01-22 03:40:00,15495175
NIFTY,2026-01-27,23650.0,0.0,0,0,5.7,171860,5953025,0,0,0,0,2026-01-22 03:40:00,14899829
NIFTY,2026-01-27,23700.0,1470.0,130,195,5.9,1194830,16456505,0,0,0,0,2026-01-22 03:40:00,14305752
NIFTY,2026-01-27,23750.0,1420.3,45500,13260,6.1,2361450,19171035,0,0,0,0,2026-01-22 03:40:00,13717062
NIFTY,2026-01-27,23800.0,1370.0,25480,9360,6.3,2474745,24301160,0,0,0,0,2026-01-22 03:40:00,13146114
NIFTY,2026-01-27,23850.0,1415.55,780,455,6.7,251030,9920495,0,0,0,0,2026-01-22 03:40:00,12584577
NIFTY,2026-01-27,23900.0,1290.0,9035,1365,7.0,786695,15957305,0,0,0,0,2026-01-22 03:40:00,12022310
NIFTY,2026-01-27,23950.0,1277.65,1365,1625,7.45,543920,13094705,0,0,0,0,2026-01-22 03:40:00,11464694
NIFTY,2026-01-27,24000.0,1192.55,875745,373945,8.0,8225165,72876830,0,0,0,0,2026-01-22 03:40:00,10908959
NIFTY,2026-01-27,24050.0,1312.4,260,0,8.6,446030,15311920,0,0,0,0,2026-01-22 03:40:00,10496816
NIFTY,2026-01-27,24100.0,1070.75,4485,9295,9.1,1088750,29000985,0,0,0,0,2026-01-22 03:40:00,9988699
NIFTY,2026-01-27,24150.0,1233.65,130,0,9.65,558545,18767515,0,0,0,0,2026-01-22 03:40:00,9485886
NIFTY,2026-01-27,24200.0,999.8,3705,9295,10.5,2309450,41392845,0,0,0,0,2026-01-22 03:40:00,8985854
NIFTY,2026-01-27,24250.0,942.4,2210,3640,11.4,1047410,24009570,0,0,0,0,2026-01-22 03:40:00,8495857
NIFTY,2026-01-27,24300.0,892.9,7930,24245,12.2,2245360,43476160,0,0,0,0,2026-01-22 03:40:00,8012176
NIFTY,2026-01-27,24350.0,848.4,3965,2730,13.6,509340,24911445,0,0,0,0,2026-01-22 03:40:00,7538716
NIFTY,2026-01-27,24400.0,801.5,15340,53885,15.05,2279420,50585080,0,0,0,0,2026-01-22 03:40:00,7069498
NIFTY,2026-01-27,24450.0,741.35,845,5005,16.65,619385,30519515,0,0,0,0,2026-01-22 03:40:00,6609909
NIFTY,2026-01-27,24500.0,708.5,296725,935935,18.8,6776120,95648735,0,0,0,0,2026-01-22 03:40:00,6154653
NIFTY,2026-01-27,24550.0,664.05,19565,54860,21.05,1017900,36875475,0,0,0,0,2026-01-22 03:40:00,5744015
NIFTY,2026-01-27,24600.0,610.3,50180,336050,23.4,2831660,67118220,0,0,0,0,2026-01-22 03:40:00,5329436
NIFTY,2026-01-27,24650.0,563.8,41210,290615,27.05,1715155,51653420,0,0,0,0,2026-01-22 03:40:00,4926546
NIFTY,2026-01-27,24700.0,520.0,166140,1131130,30.95,5385835,107768830,0,0,0,0,2026-01-22 03:40:00,4533685
NIFTY,2026-01-27,24750.0,473.65,45240,485160,35.8,1487005,64113400,0,0,0,0,2026-01-22 03:40:00,4162871
NIFTY,2026-01-27,24800.0,430.6,314600,5295160,41.85,4937010,144677715,0,0,0,0,2026-01-22 03:40:00,3804567
NIFTY,2026-01-27,24850.0,389.45,59865,1998815,49.25,1859065,90021360,0,0,0,0,2026-01-22 03:40:00,3468587
NIFTY,2026-01-27,24900.0,347.0,293410,10400520,57.35,5160025,176801235,0,0,0,0,2026-01-22 03:40:00,3142492
