Symbol,Expiry,Strike,CE_LTP,CE_OI,CE_Volume,PE_LTP,PE_OI,PE_Volume,Spot,%Change,timestamp,Max_Pain
NIFTY,2026-02-03,23100.0,2665.1,1430,4160,0.15,2678910,29652740,25774.5,2.735,2026-02-03 14:38:23,51713778
NIFTY,2026-02-03,23150.0,0.0,0,0,0.2,196105,4492670,25774.5,2.735,2026-02-03 14:38:23,50379580
NIFTY,2026-02-03,23200.0,2631.1,130,390,0.25,1886040,11949470,25774.5,2.735,2026-02-03 14:38:23,49046018
NIFTY,2026-02-03,23250.0,2537.8,910,455,0.15,211380,4096950,25774.5,2.735,2026-02-03 14:38:23,47721877
NIFTY,2026-02-03,23300.0,2464.05,1755,1885,0.15,3611400,25490855,25774.5,2.735,2026-02-03 14:38:23,46399039
NIFTY,2026-02-03,23350.0,2324.15,195,130,0.2,499525,4874025,25774.5,2.735,2026-02-03 14:38:23,45094417
NIFTY,2026-02-03,23400.0,2422.85,1690,2275,0.2,1844960,14961505,25774.5,2.735,2026-02-03 14:38:23,43791951
NIFTY,2026-02-03,23450.0,1612.0,65,0,0.2,301730,4976660,25774.5,2.735,2026-02-03 14:38:23,42499055
NIFTY,2026-02-03,23500.0,2254.7,13130,4485,0.15,4611555,51255555,25774.5,2.735,2026-02-03 14:38:23,41207301
NIFTY,2026-02-03,23550.0,2202.9,520,845,0.2,373360,7706920,25774.5,2.735,2026-02-03 14:38:23,39941556
NIFTY,2026-02-03,23600.0,1338.0,2860,0,0.15,1061450,15481895,25774.5,2.735,2026-02-03 14:38:23,38674897
NIFTY,2026-02-03,23650.0,1141.45,3120,0,0.25,281710,7487675,25774.5,2.735,2026-02-03 14:38:23,37413818
NIFTY,2026-02-03,23700.0,2101.65,5330,2015,0.15,1567410,22948900,25774.5,2.735,2026-02-03 14:38:23,36154147
NIFTY,2026-02-03,23750.0,2042.0,2925,3120,0.3,462020,8454225,25774.5,2.735,2026-02-03 14:38:23,34903086
NIFTY,2026-02-03,23800.0,2052.9,3185,4940,0.3,1676285,23091835,25774.5,2.735,2026-02-03 14:38:23,33653837
NIFTY,2026-02-03,23850.0,1987.75,2860,975,0.25,519545,10216115,25774.5,2.735,2026-02-03 14:38:23,32413006
NIFTY,2026-02-03,23900.0,1874.5,1495,4615,0.3,1407315,21481785,25774.5,2.735,2026-02-03 14:38:23,31174738
NIFTY,2026-02-03,23950.0,1851.85,2535,2730,0.35,497185,10410725,25774.5,2.735,2026-02-03 14:38:23,29943198
NIFTY,2026-02-03,24000.0,1799.7,77675,134225,0.2,9119045,87265165,25774.5,2.735,2026-02-03 14:38:23,28714369
NIFTY,2026-02-03,24050.0,1753.15,3705,5590,0.25,927160,14016145,25774.5,2.735,2026-02-03 14:38:23,27544869
NIFTY,2026-02-03,24100.0,1696.5,6370,5525,0.35,2426645,30616430,25774.5,2.735,2026-02-03 14:38:23,26366853
NIFTY,2026-02-03,24150.0,1645.35,12350,5330,0.35,640575,12001990,25774.5,2.735,2026-02-03 14:38:23,25201372
NIFTY,2026-02-03,24200.0,1582.6,9815,12090,0.3,2588495,41862080,25774.5,2.735,2026-02-03 14:38:23,24040169
NIFTY,2026-02-03,24250.0,1543.25,8060,6305,0.4,764335,20459530,25774.5,2.735,2026-02-03 14:38:23,22891423
NIFTY,2026-02-03,24300.0,1465.0,41860,53365,0.3,3658395,43203420,25774.5,2.735,2026-02-03 14:38:23,21746277
NIFTY,2026-02-03,24350.0,1465.3,12610,18850,0.3,1572610,24318320,25774.5,2.735,2026-02-03 14:38:23,20624442
NIFTY,2026-02-03,24400.0,1372.0,50050,37180,0.3,3428360,48921405,25774.5,2.735,2026-02-03 14:38:23,19506311
NIFTY,2026-02-03,24450.0,1352.75,34710,28860,0.35,1974180,30826185,25774.5,2.735,2026-02-03 14:38:23,18410535
NIFTY,2026-02-03,24500.0,1287.45,162370,457080,0.35,10426000,126968205,25774.5,2.735,2026-02-03 14:38:23,17322666
NIFTY,2026-02-03,24550.0,1249.65,53040,44525,0.4,1302860,31107505,25774.5,2.735,2026-02-03 14:38:23,16303652
NIFTY,2026-02-03,24600.0,1158.3,101465,430885,0.35,3541070,62664810,25774.5,2.735,2026-02-03 14:38:23,15277454
NIFTY,2026-02-03,24650.0,1128.25,79755,158405,0.3,2206230,42837600,25774.5,2.735,2026-02-03 14:38:23,14274522
NIFTY,2026-02-03,24700.0,1069.25,731965,777205,0.35,4611230,95403100,25774.5,2.735,2026-02-03 14:38:23,13280322
NIFTY,2026-02-03,24750.0,1024.4,540800,499200,0.4,2791815,58053840,25774.5,2.735,2026-02-03 14:38:23,12382011
NIFTY,2026-02-03,24800.0,975.4,582270,2226575,0.4,8880755,140988835,25774.5,2.735,2026-02-03 14:38:23,11477547
NIFTY,2026-02-03,24850.0,929.15,548405,1798225,0.5,2524080,72376915,25774.5,2.735,2026-02-03 14:38:23,10621549
NIFTY,2026-02-03,24900.0,881.25,603330,3743480,0.45,5098665,110822465,25774.5,2.735,2026-02-03 14:38:23,9775303
NIFTY,2026-02-03,24950.0,825.95,475930,2604095,0.55,1959750,80849535,25774.5,2.735,2026-02-03 14:38:23,8959677
NIFTY,2026-02-03,25000.0,774.9,2146235,10825165,0.55,14481480,290262895,25774.5,2.735,2026-02-03 14:38:23,8142492
NIFTY,2026-02-03,25050.0,724.5,747435,4389320,0.7,3063840,108287530,25774.5,2.735,2026-02-03 14:38:23,7534760
NIFTY,2026-02-03,25100.0,674.3,1570920,11831105,0.65,5134675,156441155,25774.5,2.735,2026-02-03 14:38:23,6834506
NIFTY,2026-02-03,25150.0,624.7,983385,7411170,0.85,2503215,103058410,25774.5,2.735,2026-02-03 14:38:23,6219436
NIFTY,2026-02-03,25200.0,575.85,2014285,19774755,0.85,7589660,215317505,25774.5,2.735,2026-02-03 14:38:23,5577424
NIFTY,2026-02-03,25250.0,525.45,1019980,9994595,0.85,2879955,135468450,25774.5,2.735,2026-02-03 14:38:23,5037561
NIFTY,2026-02-03,25300.0,474.6,2895360,24166025,1.0,7161700,260661180,25774.5,2.735,2026-02-03 14:38:23,4455200
NIFTY,2026-02-03,25350.0,426.2,1232660,13276770,1.15,3694600,222592695,25774.5,2.735,2026-02-03 14:38:23,4006472
NIFTY,2026-02-03,25400.0,375.5,1303640,30306770,1.3,8702070,333253700,25774.5,2.735,2026-02-03 14:38:23,3497794
NIFTY,2026-02-03,25450.0,327.2,458900,15726360,1.45,3981315,267580560,25774.5,2.735,2026-02-03 14:38:23,3034853
NIFTY,2026-02-03,25500.0,277.0,3343210,76898055,1.75,13883025,648236940,25774.5,2.735,2026-02-03 14:38:23,2560731
